title_vina,PharmFit_score,Params
HIT103397847.pdbqt,1.52985,100
HIT100936524.pdbqt,1.52953,100
HIT103781791.pdbqt,1.52896,100
HIT211503179.pdbqt,1.52836,100
HIT100601288.pdbqt,1.52835,100
HIT103110535.pdbqt,1.52826,100
HIT104870770.pdbqt,1.52507,5.49135
HIT104409354.pdbqt,1.52177,100
HIT107557654.pdbqt,1.52093,100
HIT103814719.pdbqt,1.51742,7.05777
HIT105433663.pdbqt,1.51588,7.30474
HIT101615729.pdbqt,1.51358,100
HIT105156907.pdbqt,1.51251,100
HIT105013192.pdbqt,1.51163,100
HIT100057403.pdbqt,1.51098,100
HIT105987501.pdbqt,1.50927,100
HIT105517682.pdbqt,1.50733,100
HIT102897246.pdbqt,1.50542,100
HIT100534073.pdbqt,1.50369,100
HIT107214393.pdbqt,1.50056,100
HIT104808754.pdbqt,1.50034,100
HIT105851894.pdbqt,1.49675,100
HIT103630906.pdbqt,1.49647,100
HIT107305441.pdbqt,1.49386,100
HIT100456917.pdbqt,1.4914,100
HIT102010197.pdbqt,1.49093,100
HIT106302528.pdbqt,1.48972,100
HIT103320332.pdbqt,1.48918,100
HIT100497530.pdbqt,1.48856,100
HIT107546638.pdbqt,1.48513,100
HIT104642280.pdbqt,1.48319,100
HIT103804209.pdbqt,1.48189,100
HIT103391966.pdbqt,1.48116,100
HIT106278955.pdbqt,1.47784,100
HIT107415604.pdbqt,1.47781,100
HIT107467071.pdbqt,1.47739,100
HIT102881401.pdbqt,1.47728,100
HIT106889641.pdbqt,1.47499,100
HIT102982435.pdbqt,1.47196,100
HIT103026465.pdbqt,1.47045,100
HIT106633994.pdbqt,1.46846,100
HIT101325959.pdbqt,1.46707,6.81619
HIT104068491.pdbqt,1.46667,5.33084
HIT101763736.pdbqt,1.4661,100
HIT102606887.pdbqt,1.46565,100
HIT105409119.pdbqt,1.46442,100
HIT107707112.pdbqt,1.4641,100
HIT106239105.pdbqt,1.46303,100
HIT107664560.pdbqt,1.45311,100
HIT103138549.pdbqt,1.45245,100
HIT106473134.pdbqt,1.45144,100
HIT104111982.pdbqt,1.44493,100
HIT105251747.pdbqt,1.44368,100
HIT105395166.pdbqt,1.44338,100
HIT102755836.pdbqt,1.44296,100
HIT106494653.pdbqt,1.44259,100
HIT100968725.pdbqt,1.44241,100
HIT107092338.pdbqt,1.43994,100
HIT211509010.pdbqt,1.43987,100
HIT106122545.pdbqt,1.43918,100
HIT106636668.pdbqt,1.43901,100
HIT104933611.pdbqt,1.43851,100
HIT102236987.pdbqt,1.43819,100
HIT103445717.pdbqt,1.43656,100
HIT102421902.pdbqt,1.43634,100
HIT105147811.pdbqt,1.43413,100
HIT100117399.pdbqt,1.4332,100
HIT100143107.pdbqt,1.4312,100
HIT105124992.pdbqt,1.42904,100
HIT103637869.pdbqt,1.42737,100
