standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score,Total_RSA,Side_chain_RSA
O=C1CC(C(=O)Nc2cccc(C(F)(F)F)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.612017363994006,HIT102586514.pdbqt,O=C1CC(C(=O)Nc2cccc(C(F)(F)F)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3026,O=C1C[C@H](C(=O)Nc2cccc(C(F)(F)F)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-7.1131,2.56384,0.3194283287033023,0.0382914073098856
Cc1ccccc1C1c2ccsc2CCN1C(C)C(=O)N1CCCN(C(=O)c2ccc3c(c2)OCO3)CC1,2.4271178126155712,HIT102646540.pdbqt,Cc1ccccc1C1c2ccsc2CCN1C(C)C(=O)N1CCCN(C(=O)c2ccc3c(c2)OCO3)CC1,-7.9,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:36840,Cc1ccccc1[C@@H]1c2ccsc2CCN1[C@@H](C)C(=O)N1CCCN(C(=O)c2ccc3c(c2)OCO3)CC1,-6.12481,2.51033,0.3254493574302676,0.0469603124682605
COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,2.046310587086802,HIT103835085.pdbqt,COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3152,COc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,-7.14758,2.48924,0.3186525422834166,0.0383772748776396
O=C1CC(C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.2305634014547977,HIT100275866.pdbqt,O=C1CC(C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3025,O=C1C[C@H](C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-7.57842,2.48916,0.3201903162111877,0.0390451948473681
O=[N+]([O-])c1ccc(N=C(Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,0.7605749913186424,HIT103295522.pdbqt,O=[N+]([O-])c1ccc(/N=C(/Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,-8.4,ligprep_chemdiv-stock1_04_414266_split-10_8.sdf:35298,O=[N+]([O-])c1ccc(/N=C(/Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,-5.95692,2.4542,0.3132089087173142,0.0383773673155774
O=C1CC(c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,1.2248672872516888,HIT106255295.pdbqt,O=C1CC(c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,-8.2,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12909,O=C1C[C@H](c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,-6.40701,2.44563,0.3202185049917865,0.0382914073098856
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,2.313647082800228,HIT102990948.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3234,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-6.93561,2.43185,0.319527920997132,0.0387908466502757
O=C1CC(C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.6432261428868125,HIT101436810.pdbqt,O=C1CC(C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3022,O=C1C[C@H](C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.87674,2.42305,0.3196489006229142,0.0391287002354749
Cc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,2.028185115382238,HIT103596734.pdbqt,Cc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3137,Cc1cccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,-6.55653,2.41793,0.3189660286360887,0.0387843941511307
O=C1CC(c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,2.279550057861484,HIT106239135.pdbqt,O=C1CC(c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12792,O=C1C[C@H](c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.51586,2.41615,0.319434838210428,0.0383576148072018
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,1.6418346553855547,HIT101001906.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,-8.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3203,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,-6.60978,2.41162,0.3195707945193221,0.0392869297740548
O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,1.5520328634836753,HIT103508120.pdbqt,O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3097,O=C1C[C@H](C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,-6.6102,2.41125,0.3192835381292563,0.0390171250368956
Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,1.8189136099118552,HIT105371810.pdbqt,Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3031,Cc1c(Cl)cccc1NC(=O)[C@H]1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,-6.88436,2.40011,0.319920226962147,0.0386115649623239
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,1.976663710037862,HIT105823379.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,-8.3,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3032,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,-6.75627,2.38328,0.3200926744051902,0.0389726476573112
CC(C)Cn1cnnc1C1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,2.125876447005101,HIT211744438.pdbqt,CC(C)Cn1cnnc1C1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,-8.0,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:14063,CC(C)Cn1cnnc1[C@H]1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,-5.95766,2.36133,0.3018199424193586,0.0404742418880054
CC(C)Oc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,0.9707036356856475,HIT106637810.pdbqt,CC(C)Oc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,-8.3,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12887,CC(C)Oc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,-6.07028,2.34889,0.3196108365749588,0.0382914073098856
COc1ccc(C2=CC(c3cccc4ccccc34)n3ncnc3N2)cc1,0.4827358517787909,HIT103325322.pdbqt,COc1ccc(C2=CC(c3cccc4ccccc34)n3ncnc3N2)cc1,-8.1,ligprep_chemdiv-stock1_04_414266_split-10_8.sdf:19137,COc1ccc(C2=C[C@H](c3cccc4ccccc34)n3ncnc3N2)cc1,-7.27578,2.3197,0.316407591480589,0.0416219388526199
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,1.9073736340843133,HIT106711308.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3146,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,-6.69233,2.31143,0.3186278669090031,0.0387240665348613
Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,1.0764027594934706,HIT104101215.pdbqt,Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,-7.8,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:9430,Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,-6.10486,2.295,0.2984523758771115,0.0393451108816198
CC1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,0.6912463768162097,HIT102062362.pdbqt,CC1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_9.sdf:10470,C[C@@]1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,-6.04321,2.27095,0.3182219260716399,0.0433134999829699
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,2.082219170237184,HIT104442900.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3230,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.68353,2.24776,0.3203256365715004,0.039359632399626
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,1.6034449804444488,HIT105945322.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3238,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,-6.98576,2.24107,0.3220535125843838,0.0392566730836203
COc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,2.18544496834796,HIT104689529.pdbqt,COc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,-8.3,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3036,COc1cccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,-6.64269,2.23079,0.3195503622742557,0.0382914073098856
Cc1ccccc1CSc1nc2c(c(=O)[nH]1)C(C(=O)Nc1ccccc1)CC(=O)N2,1.448249543414393,HIT105321158.pdbqt,Cc1ccccc1CSc1nc2c(c(=O)[nH]1)C(C(=O)Nc1ccccc1)CC(=O)N2,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3039,Cc1ccccc1CSc1nc2c(c(=O)[nH]1)[C@@H](C(=O)Nc1ccccc1)CC(=O)N2,-6.66645,2.21797,0.3205899310172459,0.0405851866558968
Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,2.231224577414192,HIT101327148.pdbqt,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-7.7,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:36401,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-6.0083,2.20051,0.3259691790716521,0.0478269412841417
CCOc1cc(C2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,0.6877843248431889,HIT106315584.pdbqt,CCOc1cc(C2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3260,CCOc1cc([C@H]2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,-6.46668,2.19105,0.3208069532755462,0.0382914073098856
COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,1.8205415023973563,HIT104239852.pdbqt,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,-8.1,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:1307,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,-6.12501,2.18792,0.3032642426829905,0.0382914073098856
O=C1CC(C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,1.985620597177996,HIT104928591.pdbqt,O=C1CC(C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-8.8,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3148,O=C1C[C@H](C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-6.78059,2.18684,0.3182876431361962,0.0382914073098856
O=C1CC(C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.782728202195507,HIT102340045.pdbqt,O=C1CC(C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.7,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3035,O=C1C[C@H](C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-7.00424,2.17589,0.3189876837647267,0.0382914073098856
COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,1.5682318044157093,HIT102653229.pdbqt,COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:36572,COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,-6.62742,2.16989,0.3051879278471577,0.0382914073098856
Cc1ccc2nc(-c3ccc(NC(=O)C4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,1.9308485402611388,HIT105459650.pdbqt,Cc1ccc2nc(-c3ccc(NC(=O)C4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,-8.0,ligprep_chemdiv-stock1_01_400000_split-10_4.sdf:23629,Cc1ccc2nc(-c3ccc(NC(=O)[C@@H]4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,-6.17349,2.15288,0.2983174698233323,0.0382914073098856
Cc1ccc(NC(=O)CN2C(=O)C(C(=O)N3CCCCC3)Sc3ccccc32)nc1,2.041394964478947,HIT105234159.pdbqt,Cc1ccc(NC(=O)CN2C(=O)C(C(=O)N3CCCCC3)Sc3ccccc32)nc1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_4.sdf:38754,Cc1ccc(NC(=O)CN2C(=O)[C@H](C(=O)N3CCCCC3)Sc3ccccc32)nc1,-6.07709,2.14788,0.3184277595948004,0.0433662342846721
COc1ccc(C(=O)N2CC(C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,2.2057272833628887,HIT211742362.pdbqt,COc1ccc(C(=O)N2CC(C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,-7.9,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:11936,COc1ccc(C(=O)N2C[C@@H](C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,-6.68718,2.13239,0.3027376394208357,0.0387079813128772
O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,1.4846037414552258,HIT102925372.pdbqt,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.8,ligprep_chemdiv-stock1_01_400000_split-10_7.sdf:25605,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.02153,2.11531,0.3157414804863338,0.0450799601637363
Cc1ccc2c(c1)N(S(C)(=O)=O)CCC(C(=O)Nc1ccccc1Br)O2,0.5628577303505619,HIT105432716.pdbqt,Cc1ccc2c(c1)N(S(C)(=O)=O)CCC(C(=O)Nc1ccccc1Br)O2,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:15124,Cc1ccc2c(c1)N(S(C)(=O)=O)CC[C@H](C(=O)Nc1ccccc1Br)O2,-5.89057,2.08355,0.3302685283926284,0.0489289204815085
COc1ccc(C(=O)N2c3cc(C)ccc3C(Nc3ccc(C)cc3)CC2C)cc1,2.099525044623188,HIT104714523.pdbqt,COc1ccc(C(=O)N2c3cc(C)ccc3C(Nc3ccc(C)cc3)CC2C)cc1,-7.8,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:11491,COc1ccc(C(=O)N2c3cc(C)ccc3[C@H](Nc3ccc(C)cc3)C[C@H]2C)cc1,-5.92788,2.07898,0.3118304772723814,0.0445603957747405
C#CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,0.6847115017472686,HIT103101895.pdbqt,C#CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3109,C#CCOc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-6.33569,2.05531,0.3194347921858337,0.0382914073098856
O=c1[nH]c2c(c(=O)[nH]1)C(c1cccc(Br)c1)c1c(ccc3ccccc13)N2,1.7205239443155,HIT106516675.pdbqt,O=c1[nH]c2c(c(=O)[nH]1)C(c1cccc(Br)c1)c1c(ccc3ccccc13)N2,-8.4,ligprep_chemdiv-stock1_01_400000_split-10_5.sdf:22551,O=c1[nH]c2c(c(=O)[nH]1)[C@H](c1cccc(Br)c1)c1c(ccc3ccccc13)N2,-6.00732,2.04056,0.3159729063817053,0.040232052711527
COc1cc(C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,2.014009226604605,HIT103953559.pdbqt,COc1cc(C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3197,COc1cc([C@H]2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,-5.89247,2.02009,0.3193094231454133,0.0393221527921504
CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1cc(Br)c(O)c(Br)c1,0.7262695502818954,HIT104991387.pdbqt,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1cc(Br)c(O)c(Br)c1,-8.2,ligprep_chemdiv-stock1_01_400000_split-10_0.sdf:22492,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)N[C@H]2c1cc(Br)c(O)c(Br)c1,-6.60227,1.97849,0.3324504428093542,0.0592903771122688
COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,2.1486484977549867,HIT101219387.pdbqt,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:37533,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,-6.48813,1.95631,0.3091097543771071,0.0382914073098856
Cc1ccc(C2=CC(c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,2.089797620894495,HIT105100948.pdbqt,Cc1ccc(C2=CC(c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,-7.8,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:24793,Cc1ccc(C2=C[C@H](c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,-8.0763,1.95309,0.3113720588181713,0.0382914073098856
FC(F)(F)c1ccc(NN=C2CCCCCCCCCCC2)nc1,2.081893600387237,HIT103440908.pdbqt,FC(F)(F)c1ccc(NN=C2CCCCCCCCCCC2)nc1,-7.7,ligprep_chemdiv-stock1_01_400000_split-10_4.sdf:17539,FC(F)(F)c1ccc(NN=C2CCCCCCCCCCC2)nc1,-7.00281,1.94961,0.314722978530653,0.0432038696498052
