standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score
COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,2.046310587086802,HIT103835085.pdbqt,COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3152,COc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c(OC)c1,-7.14758,2.48924
O=C1CC(C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.2305634014547977,HIT100275866.pdbqt,O=C1CC(C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3025,O=C1C[C@H](C(=O)Nc2ccc(F)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-7.57842,2.48916
Cn1ncc(NC(=O)C23CC4CC(C2)CC(n2cnc(Br)n2)(C4)C3)c1C(N)=O,1.519871286843537,HIT103096437.pdbqt,Cn1ncc(NC(=O)C23CC4CC(C2)CC(n2cnc(Br)n2)(C4)C3)c1C(N)=O,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_7.sdf:18809,Cn1ncc(NC(=O)[C@@]23C[C@H]4C[C@@H](C2)C[C@](n2cnc(Br)n2)(C4)C3)c1C(N)=O,-6.13754,2.46053
O=[N+]([O-])c1ccc(N=C(Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,0.7605749913186424,HIT103295522.pdbqt,O=[N+]([O-])c1ccc(/N=C(/Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,-8.4,ligprep_chemdiv-stock1_04_414266_split-10_8.sdf:35298,O=[N+]([O-])c1ccc(/N=C(/Nc2ccc([N+](=O)[O-])cc2)c2cccc3ccccc23)cc1,-5.95692,2.4542
O=C1CC(c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,1.2248672872516888,HIT106255295.pdbqt,O=C1CC(c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,-8.2,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12909,O=C1C[C@H](c2cc(F)cc(F)c2)c2c(nc(SCc3ccc(F)cc3)[nH]c2=O)N1,-6.40701,2.44563
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,2.313647082800228,HIT102990948.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3234,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-6.93561,2.43185
O=C1CC(C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.6432261428868125,HIT101436810.pdbqt,O=C1CC(C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3022,O=C1C[C@H](C(=O)Nc2ccc(Cl)cc2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.87674,2.42305
Cc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,2.028185115382238,HIT103596734.pdbqt,Cc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3137,Cc1cccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)c1,-6.55653,2.41793
O=C1CC(c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,2.279550057861484,HIT106239135.pdbqt,O=C1CC(c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12792,O=C1C[C@H](c2cccc(O)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.51586,2.41615
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,1.6418346553855547,HIT101001906.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,-8.2,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3203,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1C,-6.60978,2.41162
O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,1.5520328634836753,HIT103508120.pdbqt,O=C1CC(C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3097,O=C1C[C@H](C(=O)Nc2ccccc2)c2c(nc(SCc3ccccc3Cl)[nH]c2=O)N1,-6.6102,2.41125
Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,1.8189136099118552,HIT105371810.pdbqt,Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3031,Cc1c(Cl)cccc1NC(=O)[C@H]1CC(=O)Nc2nc(SCc3ccccc3)[nH]c(=O)c21,-6.88436,2.40011
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,1.976663710037862,HIT105823379.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,-8.3,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3032,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1Cl,-6.75627,2.38328
