standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score,Total_RSA,Side_chain_RSA,PAINS,clogP
Cc1noc(C)c1C(=O)NCC1CCc2nc(-c3ccccc3)[nH]c(=O)c2CC1,1.073713998553457,HIT105546179.pdbqt,Cc1noc(C)c1C(=O)NCC1CCc2nc(-c3ccccc3)[nH]c(=O)c2CC1,-8.1,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:6583,Cc1noc(C)c1C(=O)NC[C@@H]1CCc2nc(-c3ccccc3)[nH]c(=O)c2CC1,-6.86274,1.29013,0.3257034536106319,0.0457633293918953,False,2.9667400000000006
CCc1nnc2c(Nc3cccc4ccccc34)nc3ccccc3n12,1.18968462724694,HIT101067972.pdbqt,CCc1nnc2c(Nc3cccc4ccccc34)nc3ccccc3n12,-7.8,ligprep_chemdiv-stock1_02_400000_split-10_3.sdf:22871,CCc1nnc2c(Nc3cccc4ccccc34)nc3ccccc3n12,-6.01825,1.21709,0.3143810229627234,0.0382914073098856,False,4.736700000000004
Cc1ccc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2cccc(O)c2)nc1,0.9849157733987488,HIT104229086.pdbqt,Cc1ccc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2cccc(O)c2)nc1,-8.1,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:21701,Cc1ccc(N2C(=O)c3oc4ccccc4c(=O)c3[C@H]2c2cccc(O)c2)nc1,-6.16021,1.69417,0.320251628905927,0.0435098661299355,False,3.9518200000000014
COc1cc2c(=O)n(Cc3ccc(C(=O)N4CCCCC4)cc3)c(=O)n(CC(=O)NC3CCCC3)c2cc1OC,0.9479997441982791,HIT103931741.pdbqt,COc1cc2c(=O)n(Cc3ccc(C(=O)N4CCCCC4)cc3)c(=O)n(CC(=O)NC3CCCC3)c2cc1OC,-8.2,ligprep_chemdiv-stock1_02_400000_split-10_7.sdf:15338,COc1cc2c(=O)n(Cc3ccc(C(=O)N4CCCCC4)cc3)c(=O)n(CC(=O)NC3CCCC3)c2cc1OC,-6.3494,1.30462,0.3339943663056228,0.0539992813998618,False,2.9136000000000006
COc1cc(C(=O)Nn2c(-c3ccccc3F)nc3ccccc3c2=O)cc(OC)c1OC,1.535850785642141,HIT105814640.pdbqt,COc1cc(C(=O)Nn2c(-c3ccccc3F)nc3ccccc3c2=O)cc(OC)c1OC,-7.7,ligprep_chemdiv-stock1_01_400000_split-10_1.sdf:25868,COc1cc(C(=O)Nn2c(-c3ccccc3F)nc3ccccc3c2=O)cc(OC)c1OC,-6.02702,1.08214,0.3241192473105288,0.0469814629777595,False,3.612300000000002
O=C(NCc1ccncc1)C1CCCN(c2nc3c(-c4ccccc4)csc3c(=O)[nH]2)C1,2.485391719314584,HIT107689536.pdbqt,O=C(NCc1ccncc1)C1CCCN(c2nc3c(-c4ccccc4)csc3c(=O)[nH]2)C1,-7.8,ligprep_chemdiv-stock1_04_414266_split-10_9.sdf:34503,O=C(NCc1ccncc1)[C@@H]1CCCN(c2nc3c(-c4ccccc4)csc3c(=O)[nH]2)C1,-6.49736,0.968597,0.3009014108618291,0.0384962869876859,False,3.5794000000000024
COc1ccc2[nH]c3c(c2c1)CCN1C(=O)OC2(CCCCC2)C31C,0.429901010466363,HIT107678105.pdbqt,COc1ccc2[nH]c3c(c2c1)CCN1C(=O)OC2(CCCCC2)C31C,-8.2,ligprep_chemdiv-stock1_01_400000_split-10_5.sdf:37089,COc1ccc2[nH]c3c(c2c1)CCN1C(=O)OC2(CCCCC2)[C@@]31C,-6.62641,0.689348,0.302946468187406,0.0390721141793334,False,4.102900000000004
Cc1ccc(-c2c(C(=O)N3CCc4ccccc43)oc(=O)c3ccccc23)cc1,2.064954757206643,HIT211522373.pdbqt,Cc1ccc(-c2c(C(=O)N3CCc4ccccc43)oc(=O)c3ccccc23)cc1,-8.7,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:4516,Cc1ccc(-c2c(C(=O)N3CCc4ccccc43)oc(=O)c3ccccc23)cc1,-6.35305,1.31333,0.3304722406823222,0.0491034610441994,False,4.971320000000004
Cc1nc2ncccc2c(=O)n1-c1cccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c1,2.0947378081370247,HIT101617799.pdbqt,Cc1nc2ncccc2c(=O)n1-c1cccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c1,-8.0,ligprep_chemdiv-stock1_02_400000_split-10_4.sdf:26791,Cc1nc2ncccc2c(=O)n1-c1cccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c1,-6.29105,1.2041,0.3219735955872222,0.0527439715056233,False,3.9030200000000015
O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,1.4846037414552258,HIT102925372.pdbqt,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.8,ligprep_chemdiv-stock1_01_400000_split-10_7.sdf:25605,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.02153,2.11531,0.3157414804863338,0.0450799601637363,False,2.2999
